ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-397014,Muscle contraction,45/689,151/9301,0.298013245033113,4.02296254289257,10.5927754785241,1.21985202510715e-16,1.34183722761786e-13,1.34183722761786e-13,RYR1/LMOD1/ITPR1/KCNA5/SCN4B/DES/TLN1/RYR3/SCN4A/TNNT3/DMD/KCND3/NOS1/TMOD1/SCN7A/CASQ2/CAMK2A/ATP1A2/TPM1/ATP2A3/CACNA1C/SRI/MYH11/MYLK/CACNB1/STIM1/FXYD1/CALM1/ACTG2/CAMK2D/CACNB2/KAT2B/CAMK2B/RYR2/SCN9A/PDE5A/DMPK/CAMK2G/ACTA1/KCNIP3/VCL/MYH3/SLC8A1/SORBS1/PLN,45
R-HSA-112316,Neuronal System,61/689,297/9301,0.205387205387205,2.77257822540841,8.7814243881471,1.08494168661169e-13,5.9671792763643e-11,5.9671792763643e-11,NEFL/KIF17/NLGN1/ACHE/NTRK3/PRKCB/ABCC8/NPTN/NLGN4X/KCNA5/TUBAL3/APBA1/LRRC4B/BCHE/HOMER2/KCND3/GNAL/PRKACB/KCNA2/CAMK2A/KCNB1/CHRNA1/CHRNA7/GRIK3/NAAA/RIMS1/SLITRK5/NRXN1/GNG2/ADCY5/GNG7/MAOA/CACNB1/HCN2/KCNMA1/KCNN2/CALM1/RAB3A/ADCY6/CAMK2D/CACNB2/SLC1A1/GNAI1/CAMK2B/EPB41L3/CHRFAM7A/TSPAN7/VAMP2/PRKAR2B/NRXN3/GRIN1/CAMK2G/ADCY9/GLRB/SYN1/DLG2/CACNA1A/KCNQ4/KCNN3/MAPT/KCNA6,61
R-HSA-5576891,Cardiac conduction,30/689,94/9301,0.319148936170213,4.3082790352963,9.11813593945873,2.29075845612989e-12,8.39944767247625e-10,8.39944767247625e-10,RYR1/ITPR1/KCNA5/SCN4B/RYR3/SCN4A/KCND3/NOS1/SCN7A/CASQ2/CAMK2A/ATP1A2/ATP2A3/CACNA1C/SRI/CACNB1/STIM1/FXYD1/CALM1/CAMK2D/CACNB2/KAT2B/CAMK2B/RYR2/SCN9A/DMPK/CAMK2G/KCNIP3/SLC8A1/PLN,30
R-HSA-5578775,Ion homeostasis,19/689,46/9301,0.41304347826087,5.57578721524579,8.79945145082424,1.62135915781858e-10,4.45873768400108e-08,4.45873768400108e-08,RYR1/ITPR1/RYR3/NOS1/CASQ2/CAMK2A/ATP1A2/ATP2A3/SRI/STIM1/FXYD1/CALM1/CAMK2D/CAMK2B/RYR2/DMPK/CAMK2G/SLC8A1/PLN,19
R-HSA-112315,Transmission across Chemical Synapses,41/689,206/9301,0.199029126213592,2.68674877055533,6.92439342649707,3.66561247025969e-09,7.89050206946959e-07,7.89050206946959e-07,NEFL/KIF17/ACHE/PRKCB/NPTN/TUBAL3/APBA1/BCHE/GNAL/PRKACB/CAMK2A/CHRNA1/CHRNA7/GRIK3/NAAA/RIMS1/GNG2/ADCY5/GNG7/MAOA/CACNB1/CALM1/RAB3A/ADCY6/CAMK2D/CACNB2/SLC1A1/GNAI1/CAMK2B/CHRFAM7A/TSPAN7/VAMP2/PRKAR2B/GRIN1/CAMK2G/ADCY9/GLRB/SYN1/DLG2/CACNA1A/MAPT,41
R-HSA-388396,GPCR downstream signalling,66/689,425/9301,0.155294117647059,2.09635789293947,6.54390883515944,4.30391021971069e-09,7.89050206946959e-07,7.89050206946959e-07,GNA13/ITPR1/TACR1/PRKCB/PDE8A/ARHGEF37/NPY1R/CNR1/RGS9/ARHGEF26/CCL13/PPP2CB/GNAZ/TACR2/ADRB1/ADCYAP1R1/MAPK7/PDE3A/GLP2R/CCL23/GNAL/PDE2A/DRD5/SST/PRKACB/EDN3/CAMK2A/GPER1/GNG2/PTGER4/PDE7B/P2RY1/GPR37L1/ADCY5/GNA14/GNG7/P2RY14/CHRM4/CALM1/ADCY6/GPR17/VIP/FFAR3/CAMK2D/PYY/GNAI1/FFAR4/CAMK2B/DGKG/PTGDR2/PRKAR2B/PDE4D/GNA11/ARHGEF25/GNAQ/SSTR2/CAMK2G/BDKRB2/CXCL12/ADCY9/VIPR1/LPAR1/GCG/ARRB1/PTGDR/MGLL,66
R-HSA-372790,Signaling by GPCR,71/689,474/9301,0.149789029535865,2.02204319842247,6.46027394715787,5.19460270313017e-09,8.16294710491883e-07,8.16294710491883e-07,GNA13/ACKR2/ITPR1/TACR1/PRKCB/PDE8A/ARHGEF37/NPY1R/CNR1/RGS9/ARHGEF26/ACKR1/CCL13/PPP2CB/GNAZ/TACR2/ADRB1/ECE1/ADCYAP1R1/MAPK7/PDE3A/GLP2R/CCL23/GNAL/PDE2A/DRD5/SST/PRKACB/EDN3/CAMK2A/GPER1/GNG2/PTGER4/PDE7B/P2RY1/GPR37L1/ADCY5/GNA14/GNG7/P2RY14/CHRM4/CALM1/ADCY6/GPR17/VIP/FFAR3/CAMK2D/PYY/GNAI1/FFAR4/CAMK2B/CCL11/DGKG/PTGDR2/PRKAR2B/PDE4D/GNA11/WNT9A/ARHGEF25/GNAQ/SSTR2/CAMK2G/BDKRB2/CXCL12/ADCY9/VIPR1/LPAR1/GCG/ARRB1/PTGDR/MGLL,71
R-HSA-983712,Ion channel transport,33/689,152/9301,0.217105263157895,2.93076350164235,6.78833295238164,1.36314906293349e-08,1.87432996153354e-06,1.87432996153354e-06,CLCNKB/RYR1/TRPC4/CLCNKA/CLCA4/SCNN1G/TRPV3/UNC79/RYR3/CLCN2/SGK1/CASQ2/CAMK2A/ATP1A2/ATP2A3/TRPM6/SGK2/SCNN1B/SRI/ANO5/FXYD1/CALM1/CAMK2D/BEST4/ATP8B1/CAMK2B/RYR2/TSC22D3/ATP8A2/ANO2/CAMK2G/WNK3/PLN,33
R-HSA-418555,G alpha (s) signalling events,25/689,99/9301,0.252525252525253,3.40890765419067,6.81546840849202,3.42621051771703e-08,4.18759063276526e-06,4.18759063276526e-06,PDE8A/GNAZ/ADRB1/ADCYAP1R1/PDE3A/GLP2R/PDE2A/DRD5/PRKACB/GPER1/GNG2/PTGER4/PDE7B/ADCY5/GNG7/ADCY6/VIP/GNAI1/PRKAR2B/PDE4D/ADCY9/VIPR1/GCG/ARRB1/PTGDR,25
R-HSA-5576892,Phase 0 - rapid depolarisation,12/689,25/9301,0.48,6.47965166908563,7.75964157225471,5.26244677158544e-08,5.78869144874398e-06,5.78869144874398e-06,SCN4B/SCN4A/SCN7A/CAMK2A/CACNA1C/CACNB1/CALM1/CAMK2D/CACNB2/CAMK2B/SCN9A/CAMK2G,12
R-HSA-2672351,Stimuli-sensing channels,23/689,89/9301,0.258426966292135,3.48857650723243,6.67218547307182,7.63604951535851e-08,7.63604951535851e-06,7.63604951535851e-06,CLCNKB/RYR1/TRPC4/CLCNKA/CLCA4/SCNN1G/TRPV3/UNC79/RYR3/CLCN2/SGK1/CASQ2/TRPM6/SGK2/SCNN1B/SRI/ANO5/CALM1/BEST4/RYR2/TSC22D3/ANO2/WNK3,23
R-HSA-5660526,Response to metal ions,8/689,11/9301,0.727272727272727,9.81765404406914,8.2763836816768,1.17735411321118e-07,1.07924127044359e-05,1.07924127044359e-05,MT2A/MT1E/MT1G/MT1M/MT1H/MT1X/MT1F/CSRP1,8
